    i                  Ax                  Ay                  Bx                  By                  Cx                  Cy
    75       976.000000000      1662.000000000      -392.000000000       294.000000000        -0.286549708         0.214912281
    76       951.000000000      1631.000000000      -417.000000000       263.000000000        -0.304824561         0.192251462
    77       967.000000000      1595.000000000      -401.000000000       227.000000000        -0.293128655         0.165935673
    78       928.000000000      1603.000000000      -440.000000000       235.000000000        -0.321637427         0.171783626
    79       893.000000000      1585.000000000      -475.000000000       217.000000000        -0.347222222         0.158625731
    80       881.000000000      1547.000000000      -487.000000000       179.000000000        -0.355994152         0.130847953
    81       873.000000000      1508.000000000      -495.000000000       140.000000000        -0.361842105         0.102339181
    82       885.000000000      1470.000000000      -483.000000000       102.000000000        -0.353070175         0.074561404
    83       891.000000000      1431.000000000      -477.000000000        63.000000000        -0.348684211         0.046052632
    84       887.000000000      1392.000000000      -481.000000000        24.000000000        -0.351608187         0.017543860
    85       870.000000000      1356.000000000      -498.000000000       -12.000000000        -0.364035088        -0.008771930
